Datetime	Emma	Callum
2017-06-29 05:03	82	69
2017-06-29 05:04	81	69
2017-06-29 05:05	81	70
2017-06-29 05:06	80	70
2017-06-29 05:06	80	70
2017-06-29 05:07	81	70
2017-06-29 05:08	79	70
2017-06-29 05:09	81	70
2017-06-29 05:09	81	70
2017-06-29 05:10	82	70
2017-06-29 05:11	84	70
2017-06-29 05:12	87	70
2017-06-29 05:12	89	71
2017-06-29 05:13	92	71
2017-06-29 05:14	95	71
2017-06-29 05:15	96	71
2017-06-29 05:15	96	72
2017-06-29 05:16	97	72
2017-06-29 05:17	98	73
2017-06-29 05:18	101	73
2017-06-29 05:18	103	73
2017-06-29 05:19	110	74
2017-06-29 05:20	114	74
2017-06-29 05:21	113	74
2017-06-29 05:21	113	75
2017-06-29 05:22	112	74
2017-06-29 05:23	115	75
2017-06-29 05:24	119	76
2017-06-29 05:24	121	76
2017-06-29 05:25	124	77
2017-06-29 05:26	128	78
2017-06-29 05:27	135	78
2017-06-29 05:27	141	78
2017-06-29 05:28	147	79
2017-06-29 05:29	155	80
2017-06-29 05:30	159	80
2017-06-29 05:30	166	80
2017-06-29 05:31	168	81
2017-06-29 05:32	168	82
2017-06-29 05:33	169	83
2017-06-29 05:33	169	84
2017-06-29 05:34	166	84
2017-06-29 05:35	172	85
2017-06-29 05:36	174	85
2017-06-29 05:36	178	86
2017-06-29 05:37	184	86
2017-06-29 05:38	185	86
2017-06-29 05:39	186	87
2017-06-29 05:39	187	87
2017-06-29 05:40	187	87
2017-06-29 05:41	186	88
2017-06-29 05:42	187	89
2017-06-29 05:42	187	90
2017-06-29 05:43	195	90
2017-06-29 05:44	199	91
2017-06-29 05:45	207	92
2017-06-29 05:45	213	94
2017-06-29 05:46	224	95
2017-06-29 05:47	232	97
2017-06-29 05:48	237	98
2017-06-29 05:48	246	100
2017-06-29 05:49	259	101
2017-06-29 05:50	264	102
2017-06-29 05:51	267	102
2017-06-29 05:51	273	103
2017-06-29 05:52	275	104
2017-06-29 05:53	275	104
2017-06-29 05:54	277	105
2017-06-29 05:54	275	105
2017-06-29 05:55	276	104
2017-06-29 05:56	276	104
2017-06-29 05:57	272	103
2017-06-29 05:57	265	102
2017-06-29 05:58	261	100
2017-06-29 05:59	256	98
2017-06-29 06:00	256	97
2017-06-29 06:00	252	96
2017-06-29 06:01	250	96
2017-06-29 06:02	252	96
2017-06-29 06:03	254	95
2017-06-29 06:03	257	95
2017-06-29 06:04	256	95
2017-06-29 06:05	254	95
2017-06-29 06:06	253	96
2017-06-29 06:06	255	96
2017-06-29 06:07	255	97
2017-06-29 06:08	262	98
2017-06-29 06:09	256	99
2017-06-29 06:09	253	100
2017-06-29 06:10	257	101
2017-06-29 06:11	256	102
2017-06-29 06:12	257	102
2017-06-29 06:12	255	103
2017-06-29 06:13	258	105
2017-06-29 06:14	264	107
2017-06-29 06:15	272	109
2017-06-29 06:15	284	112
2017-06-29 06:16	296	114
2017-06-29 06:17	305	116
2017-06-29 06:18	315	118
2017-06-29 06:18	325	120
2017-06-29 06:19	333	122
2017-06-29 06:20	332	123
2017-06-29 06:21	329	124
2017-06-29 06:21	334	124
2017-06-29 06:22	338	125
2017-06-29 06:23	340	127
2017-06-29 06:24	344	128
2017-06-29 06:24	351	129
2017-06-29 06:25	351	130
2017-06-29 06:26	355	132
2017-06-29 06:27	357	133
2017-06-29 06:27	364	134
2017-06-29 06:28	370	135
2017-06-29 06:29	377	137
2017-06-29 06:30	377	138
2017-06-29 06:30	385	139
2017-06-29 06:31	392	141
2017-06-29 06:32	397	142
2017-06-29 06:33	397	142
2017-06-29 06:33	397	141
2017-06-29 06:34	400	141
2017-06-29 06:35	404	140
2017-06-29 06:36	406	140
2017-06-29 06:36	411	141
2017-06-29 06:37	419	143
2017-06-29 06:38	429	145
2017-06-29 06:39	432	145
2017-06-29 06:39	428	145
2017-06-29 06:40	426	144
2017-06-29 06:41	426	143
2017-06-29 06:42	425	142
2017-06-29 06:42	420	139
2017-06-29 06:43	413	137
2017-06-29 06:44	415	136
2017-06-29 06:45	413	139
2017-06-29 06:45	410	142
2017-06-29 06:46	416	143
2017-06-29 06:47	413	146
2017-06-29 06:48	410	147
2017-06-29 06:48	401	147
2017-06-29 06:49	395	147
2017-06-29 06:50	390	146
2017-06-29 06:51	385	144
2017-06-29 06:51	385	143
2017-06-29 06:52	381	141
2017-06-29 06:53	384	140
2017-06-29 06:54	385	139
2017-06-29 06:54	385	138
2017-06-29 06:55	378	136
2017-06-29 06:56	375	136
2017-06-29 06:57	368	136
2017-06-29 06:57	363	136
2017-06-29 06:58	359	136
2017-06-29 06:59	364	137
2017-06-29 07:00	385	137
2017-06-29 07:00	402	138
2017-06-29 07:01	402	229
2017-06-29 07:02	411	250
2017-06-29 07:03	409	254
2017-06-29 07:03	404	255
2017-06-29 07:04	405	255
2017-06-29 07:05	411	255
2017-06-29 07:06	729	256
2017-06-29 07:06	790	257
2017-06-29 07:07	800	258
2017-06-29 07:08	802	259
2017-06-29 07:09	804	260
2017-06-29 07:09	805	261
2017-06-29 07:10	805	264
2017-06-29 07:11	805	265
2017-06-29 07:12	803	268
2017-06-29 07:12	803	268
2017-06-29 07:13	804	269
2017-06-29 07:14	804	267
2017-06-29 07:15	803	268
2017-06-29 07:15	804	269
2017-06-29 07:16	803	267
2017-06-29 07:17	802	266
2017-06-29 07:18	802	265
2017-06-29 07:18	803	265
2017-06-29 07:19	801	263
2017-06-29 07:20	800	260
2017-06-29 07:21	800	258
2017-06-29 07:21	799	257
2017-06-29 07:22	800	257
2017-06-29 07:23	799	256
2017-06-29 07:24	799	259
2017-06-29 07:25	799	259
2017-06-29 07:25	803	258
2017-06-29 07:26	494	258
2017-06-29 07:27	496	258
2017-06-29 07:28	494	259
2017-06-29 07:28	492	259
2017-06-29 07:29	496	261
2017-06-29 07:30	488	261
2017-06-29 07:31	482	262
2017-06-29 07:31	485	262
2017-06-29 07:32	493	263
2017-06-29 07:33	499	264
2017-06-29 07:34	512	266
2017-06-29 07:34	516	268
2017-06-29 07:35	529	270
2017-06-29 07:36	526	271
2017-06-29 07:37	519	271
2017-06-29 07:37	519	270
2017-06-29 07:38	507	267
2017-06-29 07:39	493	264
2017-06-29 07:40	493	264
2017-06-29 07:40	765	263
2017-06-29 07:41	804	262
2017-06-29 07:42	809	261
2017-06-29 07:43	808	260
2017-06-29 07:43	806	260
2017-06-29 07:44	807	259
2017-06-29 07:45	807	257
2017-06-29 07:46	804	256
2017-06-29 07:46	801	255
2017-06-29 07:47	799	253
2017-06-29 07:48	798	253
2017-06-29 07:49	795	252
2017-06-29 07:49	791	252
2017-06-29 07:50	791	252
2017-06-29 07:51	790	782
2017-06-29 07:52	788	808
2017-06-29 07:52	786	815
2017-06-29 07:53	787	815
2017-06-29 07:54	788	811
2017-06-29 07:55	788	805
2017-06-29 07:55	788	801
2017-06-29 07:56	788	799
2017-06-29 07:57	787	796
2017-06-29 07:58	786	793
2017-06-29 07:58	786	792
2017-06-29 07:59	785	791
2017-06-29 08:00	785	789
2017-06-29 08:01	431	789
2017-06-29 08:01	431	790
2017-06-29 08:02	438	795
2017-06-29 08:03	452	797
2017-06-29 08:04	464	798
2017-06-29 08:04	468	798
2017-06-29 08:05	470	798
2017-06-29 08:06	474	798
2017-06-29 08:07	467	798
2017-06-29 08:07	461	796
2017-06-29 08:08	453	796
2017-06-29 08:09	451	801
2017-06-29 08:10	448	801
2017-06-29 08:10	444	801
2017-06-29 08:11	446	801
2017-06-29 08:12	454	800
2017-06-29 08:13	468	800
2017-06-29 08:13	474	800
2017-06-29 08:14	471	799
2017-06-29 08:15	469	799
2017-06-29 08:16	465	799
2017-06-29 08:16	457	799
2017-06-29 08:17	451	794
2017-06-29 08:18	448	798
2017-06-29 08:19	444	798
2017-06-29 08:19	442	797
2017-06-29 08:20	445	796
2017-06-29 08:21	447	797
2017-06-29 08:22	452	797
2017-06-29 08:22	453	797
2017-06-29 08:23	457	797
2017-06-29 08:24	460	799
2017-06-29 08:25	463	800
2017-06-29 08:25	462	799
2017-06-29 08:26	460	799
2017-06-29 08:27	464	801
2017-06-29 08:28	467	802
2017-06-29 08:28	472	801
2017-06-29 08:29	483	800
2017-06-29 08:30	502	801
2017-06-29 08:31	511	801
2017-06-29 08:31	526	801
2017-06-29 08:32	531	800
2017-06-29 08:33	536	801
2017-06-29 08:34	545	802
2017-06-29 08:34	776	802
2017-06-29 08:35	808	802
2017-06-29 08:36	814	802
2017-06-29 08:37	816	802
2017-06-29 08:37	815	802
2017-06-29 08:38	814	802
2017-06-29 08:39	813	802
2017-06-29 08:40	813	801
2017-06-29 08:40	810	802
2017-06-29 08:41	808	800
2017-06-29 08:42	807	799
2017-06-29 08:43	805	800
2017-06-29 08:43	805	800
2017-06-29 08:44	803	800
2017-06-29 08:45	801	799
2017-06-29 08:46	800	801
2017-06-29 08:46	801	800
2017-06-29 08:47	800	799
2017-06-29 08:48	799	796
2017-06-29 08:49	800	797
2017-06-29 08:49	801	794
2017-06-29 08:50	798	797
2017-06-29 08:51	799	795
2017-06-29 08:52	778	795
2017-06-29 08:52	781	797
2017-06-29 08:53	783	797
2017-06-29 08:54	784	798
2017-06-29 08:55	784	799
2017-06-29 08:55	780	797
2017-06-29 08:56	783	796
2017-06-29 08:57	784	797
2017-06-29 08:58	775	797
2017-06-29 08:58	785	797
2017-06-29 08:59	793	796
2017-06-29 09:00	793	796
2017-06-29 09:01	792	797
2017-06-29 09:01	790	796
2017-06-29 09:02	790	796
2017-06-29 09:03	787	795
2017-06-29 09:04	784	795
2017-06-29 09:04	788	797
2017-06-29 09:05	790	796
2017-06-29 09:06	790	797
2017-06-29 09:07	791	797
2017-06-29 09:07	793	797
2017-06-29 09:08	793	797
2017-06-29 09:09	789	798
2017-06-29 09:10	788	797
2017-06-29 09:10	790	797
2017-06-29 09:11	791	797
2017-06-29 09:12	791	797
2017-06-29 09:13	800	798
2017-06-29 09:13	791	797
2017-06-29 09:14	798	799
2017-06-29 09:15	798	799
2017-06-29 09:16	799	799
2017-06-29 09:16	800	799
2017-06-29 09:17	799	799
2017-06-29 09:18	799	798
2017-06-29 09:19	785	797
2017-06-29 09:19	801	799
2017-06-29 09:20	804	799
2017-06-29 09:21	803	477
2017-06-29 09:22	800	805
2017-06-29 09:22	796	807
2017-06-29 09:23	783	807
2017-06-29 09:24	791	808
2017-06-29 09:25	799	809
2017-06-29 09:25	801	808
2017-06-29 09:26	802	809
2017-06-29 09:27	804	811
2017-06-29 09:28	807	812
2017-06-29 09:28	809	812
2017-06-29 09:29	812	813
2017-06-29 09:30	813	813
2017-06-29 09:31	814	813
2017-06-29 09:31	816	813
2017-06-29 09:32	817	813
2017-06-29 09:33	818	811
2017-06-29 09:34	818	811
2017-06-29 09:34	817	811
2017-06-29 09:35	815	811
2017-06-29 09:36	815	812
2017-06-29 09:37	814	812
2017-06-29 09:37	814	810
2017-06-29 09:38	816	812
2017-06-29 09:39	816	813
2017-06-29 09:40	816	813
2017-06-29 09:40	811	814
2017-06-29 09:41	809	814
2017-06-29 09:42	806	813
2017-06-29 09:43	805	812
2017-06-29 09:43	806	811
2017-06-29 09:44	807	811
2017-06-29 09:45	806	812
2017-06-29 09:46	807	812
2017-06-29 09:46	805	813
2017-06-29 09:47	804	813
2017-06-29 09:48	802	813
2017-06-29 09:49	800	813
2017-06-29 09:49	800	813
2017-06-29 09:50	803	814
2017-06-29 09:51	804	814
2017-06-29 09:52	802	814
2017-06-29 09:52	803	814
2017-06-29 09:53	805	814
2017-06-29 09:54	808	814
2017-06-29 09:55	809	813
2017-06-29 09:55	808	814
2017-06-29 09:56	809	815
2017-06-29 09:57	809	815
2017-06-29 09:58	812	814
2017-06-29 09:58	813	814
2017-06-29 09:59	816	814
2017-06-29 10:00	819	815
2017-06-29 10:01	820	815
2017-06-29 10:01	820	815
2017-06-29 10:02	819	814
2017-06-29 10:03	821	813
2017-06-29 10:04	822	818
2017-06-29 10:04	824	818
2017-06-29 10:05	825	816
2017-06-29 10:06	821	816
2017-06-29 10:07	814	816
2017-06-29 10:07	811	816
2017-06-29 10:08	811	815
2017-06-29 10:09	813	815
2017-06-29 10:10	812	815
2017-06-29 10:10	809	814
2017-06-29 10:11	806	815
2017-06-29 10:12	806	815
2017-06-29 10:13	806	814
2017-06-29 10:13	806	815
2017-06-29 10:14	805	815
2017-06-29 10:15	796	815
2017-06-29 10:16	778	816
2017-06-29 10:16	777	816
2017-06-29 10:17	774	816
2017-06-29 10:18	773	817
2017-06-29 10:19	773	817
2017-06-29 10:19	772	817
2017-06-29 10:20	776	818
2017-06-29 10:21	782	818
2017-06-29 10:22	782	818
2017-06-29 10:22	784	818
2017-06-29 10:23	784	817
2017-06-29 10:24	788	818
2017-06-29 10:25	791	818
2017-06-29 10:26	793	817
2017-06-29 10:26	796	816
2017-06-29 10:27	796	815
2017-06-29 10:28	796	817
2017-06-29 10:29	794	816
2017-06-29 10:29	790	816
2017-06-29 10:30	790	816
2017-06-29 10:31	790	816
2017-06-29 10:32	789	818
2017-06-29 10:32	789	816
2017-06-29 10:33	790	817
2017-06-29 10:34	791	815
2017-06-29 10:35	791	816
2017-06-29 10:35	792	815
2017-06-29 10:36	793	816
2017-06-29 10:37	792	815
2017-06-29 10:38	790	816
2017-06-29 10:38	791	815
2017-06-29 10:39	789	815
2017-06-29 10:40	790	815
2017-06-29 10:41	790	816
2017-06-29 10:41	789	813
2017-06-29 10:42	789	814
2017-06-29 10:43	789	813
2017-06-29 10:44	789	813
2017-06-29 10:44	788	814
2017-06-29 10:45	789	814
2017-06-29 10:46	789	814
2017-06-29 10:47	792	814
2017-06-29 10:47	792	814
2017-06-29 10:48	795	815
2017-06-29 10:49	795	814
2017-06-29 10:50	796	778
2017-06-29 10:50	584	815
2017-06-29 10:51	583	815
2017-06-29 10:52	577	815
2017-06-29 10:53	568	815
2017-06-29 10:53	766	815
2017-06-29 10:54	786	815
2017-06-29 10:55	796	815
2017-06-29 10:56	800	815
2017-06-29 10:56	803	815
2017-06-29 10:57	805	814
2017-06-29 10:58	805	815
2017-06-29 10:59	804	815
2017-06-29 10:59	802	815
2017-06-29 11:00	799	815
2017-06-29 11:01	797	814
2017-06-29 11:02	796	814
2017-06-29 11:02	793	813
2017-06-29 11:03	792	814
2017-06-29 11:04	791	814
2017-06-29 11:05	792	814
2017-06-29 11:05	791	814
2017-06-29 11:06	786	813
2017-06-29 11:07	785	814
2017-06-29 11:08	785	815
2017-06-29 11:08	785	815
2017-06-29 11:09	786	815
2017-06-29 11:10	786	816
2017-06-29 11:11	785	816
2017-06-29 11:11	787	816
2017-06-29 11:12	789	816
2017-06-29 11:13	792	816
2017-06-29 11:14	795	816
2017-06-29 11:14	795	815
2017-06-29 11:15	796	815
2017-06-29 11:16	797	815
2017-06-29 11:17	801	817
2017-06-29 11:17	799	817
2017-06-29 11:18	798	816
2017-06-29 11:19	795	816
2017-06-29 11:20	795	817
2017-06-29 11:20	793	817
2017-06-29 11:21	793	816
2017-06-29 11:22	793	816
2017-06-29 11:23	796	817
2017-06-29 11:23	798	816
2017-06-29 11:24	799	816
2017-06-29 11:25	802	816
2017-06-29 11:26	803	816
2017-06-29 11:26	805	816
2017-06-29 11:27	806	816
2017-06-29 11:28	807	817
2017-06-29 11:29	807	815
2017-06-29 11:29	785	815
2017-06-29 11:30	786	815
2017-06-29 11:31	787	815
2017-06-29 11:32	781	816
2017-06-29 11:32	781	816
2017-06-29 11:33	782	817
2017-06-29 11:34	785	817
2017-06-29 11:35	787	817
2017-06-29 11:35	788	817
2017-06-29 11:36	791	817
2017-06-29 11:37	799	817
2017-06-29 11:38	805	816
2017-06-29 11:38	808	817
2017-06-29 11:39	812	817
2017-06-29 11:40	815	816
2017-06-29 11:41	819	815
2017-06-29 11:41	821	817
2017-06-29 11:42	822	817
2017-06-29 11:43	819	816
2017-06-29 11:44	818	817
2017-06-29 11:44	815	817
2017-06-29 11:45	811	816
2017-06-29 11:46	811	817
2017-06-29 11:47	809	816
2017-06-29 11:47	809	817
2017-06-29 11:48	810	817
2017-06-29 11:49	810	817
2017-06-29 11:50	812	815
2017-06-29 11:50	815	816
2017-06-29 11:51	812	816
2017-06-29 11:52	810	816
2017-06-29 11:53	807	815
2017-06-29 11:53	805	816
2017-06-29 11:54	804	815
2017-06-29 11:55	800	816
2017-06-29 11:56	795	816
2017-06-29 11:56	790	817
2017-06-29 11:57	785	818
2017-06-29 11:58	785	817
2017-06-29 11:59	785	818
2017-06-29 11:59	784	819
2017-06-29 12:00	788	818
2017-06-29 12:01	790	819
2017-06-29 12:02	794	819
2017-06-29 12:02	796	818
2017-06-29 12:03	798	818
2017-06-29 12:04	794	817
2017-06-29 12:05	792	817
2017-06-29 12:05	788	816
2017-06-29 12:06	784	815
2017-06-29 12:07	780	817
2017-06-29 12:08	776	818
2017-06-29 12:08	774	816
2017-06-29 12:09	775	817
2017-06-29 12:10	775	817
2017-06-29 12:11	776	816
2017-06-29 12:11	778	816
2017-06-29 12:12	778	815
2017-06-29 12:13	780	816
2017-06-29 12:14	780	816
